"component_id","component_name","category","folder_path","readme_present","workflow_json_count","test_payload_count","output_sample_count","catalog_record_present","last_write_time"
"C2-I","c2-i-notification-alert-engine","cat-2",".\components\cat-2\c2-i-notification-alert-engine","True","1","3","3","False","2026-05-25 15:27:38"
"C2-J","c2-j-digest-summary-notification-builder","cat-2",".\components\cat-2\c2-j-digest-summary-notification-builder","True","1","6","6","False","2026-05-25 14:46:24"
"C2-K","c2-k-llm-in-workflow-adapter","cat-2",".\components\cat-2\c2-k-llm-in-workflow-adapter","True","1","5","5","False","2026-05-25 19:20:26"
"C2-L","c2-l-calendar-scheduling-automation","cat-2",".\components\cat-2\c2-l-calendar-scheduling-automation","True","1","9","9","False","2026-05-25 14:46:24"
"C2-M","c2-m-whatsapp-message-automation","cat-2",".\components\cat-2\c2-m-whatsapp-message-automation","True","1","10","10","False","2026-05-25 14:46:24"
"C2-N","c2-n-csv-excel-parser","cat-2",".\components\cat-2\c2-n-csv-excel-parser","True","1","7","7","False","2026-05-25 14:46:24"
"C2-O2","c2-o2-approval-response-capture","cat-2",".\components\cat-2\c2-o2-approval-response-capture","True","1","7","7","False","2026-05-25 21:39:25"
"C2-O","c2-o-human-approval-gate","cat-2",".\components\cat-2\c2-o-human-approval-gate","True","1","5","5","False","2026-05-25 14:46:24"
"C2-P","c2-p-suppression-opt-out-guard","cat-2",".\components\cat-2\c2-p-suppression-opt-out-guard","True","1","6","6","False","2026-05-25 14:46:24"
"C2-Q","c2-q-publishing-adapter-family","cat-2",".\components\cat-2\c2-q-publishing-adapter-family","True","1","11","11","False","2026-05-25 14:46:24"
"C3-D","c3-d-e-signature-flow","cat-3",".\components\cat-3\c3-d-e-signature-flow","True","0","0","0","False","2026-05-25 21:39:26"
"C3-E","c3-e-document-invoice-generation","cat-3",".\components\cat-3\c3-e-document-invoice-generation","True","0","0","0","False","2026-05-25 21:39:26"
"C3-F","c3-f-delivery-tracking","cat-3",".\components\cat-3\c3-f-delivery-tracking","True","0","0","0","False","2026-05-25 21:39:26"
"C3-G","c3-g-subscription-billing-engine","cat-3",".\components\cat-3\c3-g-subscription-billing-engine","True","0","0","0","False","2026-05-25 21:39:26"
"C3-H","c3-h-payment-to-onboarding","cat-3",".\components\cat-3\c3-h-payment-to-onboarding","True","0","0","0","False","2026-05-25 21:39:26"
"C3-I","c3-i-welcome-sequence","cat-3",".\components\cat-3\c3-i-welcome-sequence","True","0","0","0","False","2026-05-25 21:39:26"
"C4-A","c4-a-ai-classification-pipeline","cat-4",".\components\cat-4\c4-a-ai-classification-pipeline","True","1","7","7","False","2026-05-26 02:22:38"
"C4-B","c4-b-ai-extraction-parser","cat-4",".\components\cat-4\c4-b-ai-extraction-parser","True","1","7","7","False","2026-05-26 11:56:04"
"C4-C","c4-c-ai-summary-generator","cat-4",".\components\cat-4\c4-c-ai-summary-generator","True","0","0","0","False","2026-05-25 20:19:29"
"C4-D","c4-d-ai-content-generation-pipeline","cat-4",".\components\cat-4\c4-d-ai-content-generation-pipeline","True","1","7","7","False","2026-05-25 21:39:25"
"C4-E","c4-e-ai-email-draft-generator","cat-4",".\components\cat-4\c4-e-ai-email-draft-generator","True","1","6","6","False","2026-05-25 20:19:29"
"C4-F","c4-f-ai-content-repurpose-engine","cat-4",".\components\cat-4\c4-f-ai-content-repurpose-engine","True","0","0","0","False","2026-05-25 20:19:29"
"C4-L","c4-l-lead-qualification-pipeline","cat-4",".\components\cat-4\c4-l-lead-qualification-pipeline","True","1","7","7","False","2026-05-25 21:39:25"
"C4-M","c4-m-ai-draft-approval-pipeline","cat-4",".\components\cat-4\c4-m-ai-draft-approval-pipeline","True","1","5","5","False","2026-05-25 20:19:29"
"C4-T","c4-t-ocr-document-processing-pipeline","cat-4",".\components\cat-4\c4-t-ocr-document-processing-pipeline","True","1","9","9","False","2026-05-25 21:39:25"
"C5-A","c5-a-basic-dashboard-view","cat-5",".\components\cat-5\c5-a-basic-dashboard-view","True","0","0","0","False","2026-05-25 18:27:55"
"C5-B","c5-b-client-portal-table","cat-5",".\components\cat-5\c5-b-client-portal-table","True","0","0","0","False","2026-05-25 18:27:55"
"C5-C","c5-c-reporting-data-model","cat-5",".\components\cat-5\c5-c-reporting-data-model","True","0","0","0","False","2026-05-25 18:27:55"
"C5-D","c5-d-kpi-summary-builder","cat-5",".\components\cat-5\c5-d-kpi-summary-builder","True","0","0","0","False","2026-05-25 18:27:55"
"C5-E","c5-e-manual-review-queue","cat-5",".\components\cat-5\c5-e-manual-review-queue","True","1","6","6","False","2026-05-25 18:27:55"
"C5-L","c5-l-file-preview","cat-5",".\components\cat-5\c5-l-file-preview","True","0","0","0","False","2026-05-25 21:39:26"
"C5-T","c5-t-export-reports","cat-5",".\components\cat-5\c5-t-export-reports","True","0","0","0","False","2026-05-25 21:39:26"
"C5-W","c5-w-automation-status-control-table","cat-5",".\components\cat-5\c5-w-automation-status-control-table","True","1","5","5","False","2026-05-25 18:27:55"
"C5-X","c5-x-kpi-monitoring-threshold-alert-engine","cat-5",".\components\cat-5\c5-x-kpi-monitoring-threshold-alert-engine","True","0","0","0","False","2026-05-25 18:27:55"
"C6-A","c6-a-workflow-audit-checker","cat-6",".\components\cat-6\c6-a-workflow-audit-checker","True","0","0","0","False","2026-05-25 16:51:36"
"C6-B","c6-b-error-pattern-library","cat-6",".\components\cat-6\c6-b-error-pattern-library","True","0","0","0","False","2026-05-25 16:51:36"
"C6-C","c6-c-api-auth-debugger","cat-6",".\components\cat-6\c6-c-api-auth-debugger","True","0","0","0","False","2026-05-25 16:51:36"
"C6-D","c6-d-data-mapping-diagnostic","cat-6",".\components\cat-6\c6-d-data-mapping-diagnostic","True","0","0","0","False","2026-05-25 16:51:36"
"C6-E","c6-e-integration-health-check","cat-6",".\components\cat-6\c6-e-integration-health-check","True","0","0","0","False","2026-05-25 16:51:37"
"C6-F","c6-f-handoff-documentation-pack","cat-6",".\components\cat-6\c6-f-handoff-documentation-pack","True","0","0","0","False","2026-05-25 16:51:37"
"C6-G","c6-g-error-log-retry-queue","cat-6",".\components\cat-6\c6-g-error-log-retry-queue","True","1","5","5","False","2026-05-25 16:51:37"
