"component_id","component_name","primary_category","layer_type","readiness","execution_level","provider","priority","folder_path","folder_exists","readme_present","workflow_json_count","valid_workflow_json_count","invalid_workflow_json_count","n8n_node_count_total","code_node_count","trigger_node_count","credential_reference_count","test_payload_count","output_sample_count","production_80_20_status","discussion_flag","notes"
"C2-K","LLM in Workflow Adapter","Category 2 - Automation Workflows","COMPONENT_ADAPTER","BUILT","provider_execution","OpenAI-compatible/Groq","P0","components/cat-2/c2-k-llm-in-workflow-adapter","True","True","1","1","0","7","3","1","1","5","5","PASS_80_20","OK","Built LLM call adapter"
"C2-L","Calendar / Scheduling Automation","Category 2 - Automation Workflows","HANDOFF_ONLY_CORE","BUILT","handoff_only","provider_agnostic","P1","components/cat-2/c2-l-calendar-scheduling-automation","True","True","1","1","0","3","1","1","0","9","9","PASS_HANDOFF_ONLY","OK","Prepares scheduling handoffs; live calendar adapters deferred"
"C2-M","WhatsApp Message Automation","Category 2 - Automation Workflows","HANDOFF_ONLY_CORE","BUILT","handoff_only","provider_agnostic","P2","components/cat-2/c2-m-whatsapp-message-automation","True","True","1","1","0","3","1","1","0","10","10","PASS_HANDOFF_ONLY","OK","Prepares WhatsApp provider handoffs; live send adapters deferred"
"C2-N","CSV / Excel Parser","Category 2 - Automation Workflows","CORE_COMPONENT","BUILT","core_logic","provider_agnostic","P0","components/cat-2/c2-n-csv-excel-parser","True","True","1","1","0","3","1","1","0","7","7","PASS_80_20","OK","Parses CSV/Excel records"
"C2-O","Human Approval Gate","Category 2 - Automation Workflows","CORE_COMPONENT","BUILT","core_logic","provider_agnostic","P0","components/cat-2/c2-o-human-approval-gate","True","True","1","1","0","3","1","1","0","5","5","PASS_80_20","OK","Approval request creation"
"C2-O2","Approval Response Capture","Category 2 - Automation Workflows","CORE_COMPONENT","BUILT","core_logic","provider_agnostic","P0","components/cat-2/c2-o2-approval-response-capture","True","True","1","1","0","3","1","1","0","7","7","PASS_80_20","OK","Approval response capture"
"C2-P","Suppression / Opt-Out Guard","Category 2 - Automation Workflows","CORE_COMPONENT","BUILT","core_logic","provider_agnostic","P0","components/cat-2/c2-p-suppression-opt-out-guard","True","True","1","1","0","3","1","1","0","6","6","PASS_80_20","OK","Consent and suppression guard"
"C2-Q","Publishing Adapter Family","Category 2 - Automation Workflows","HANDOFF_ONLY_CORE","BUILT","handoff_only","provider_agnostic","P2","components/cat-2/c2-q-publishing-adapter-family","True","True","1","1","0","3","1","1","0","11","11","PASS_HANDOFF_ONLY","OK","Prepares publishing handoffs; live publishing adapters deferred"
"C4-A","AI Classification Pipeline","Category 4 - AI Workflow Systems","CORE_COMPONENT","BUILT","core_logic","provider_agnostic","P0","components/cat-4/c4-a-ai-classification-pipeline","True","True","1","1","0","7","3","1","1","7","7","PASS_80_20","OK","AI classification engine"
"C4-B","AI Extraction Parser","Category 4 - AI Workflow Systems","CORE_COMPONENT","BUILT","core_logic","provider_agnostic","P0","components/cat-4/c4-b-ai-extraction-parser","True","True","1","1","0","7","3","1","1","7","7","PASS_80_20","OK","Structured extraction from text"
"C4-D","AI Content Generation Pipeline","Category 4 - AI Workflow Systems","CORE_COMPONENT","BUILT","core_logic","provider_agnostic","P1","components/cat-4/c4-d-ai-content-generation-pipeline","True","True","1","1","0","7","3","1","1","7","7","PASS_80_20","OK","AI content generation"
"C4-E","AI Email Draft Generator","Category 4 - AI Workflow Systems","CORE_COMPONENT","BUILT","core_logic","provider_agnostic","P0","components/cat-4/c4-e-ai-email-draft-generator","True","True","1","1","0","7","3","1","1","6","6","PASS_80_20","OK","Email draft generation"
"C4-L","Lead Qualification Pipeline","Category 4 - AI Workflow Systems","CORE_COMPONENT","BUILT","core_logic","provider_agnostic","P0","components/cat-4/c4-l-lead-qualification-pipeline","True","True","1","1","0","7","3","1","1","7","7","PASS_80_20","OK","Lead scoring and qualification"
"C4-M","AI Draft Approval Pipeline","Category 4 - AI Workflow Systems","CORE_COMPONENT","BUILT","core_logic","provider_agnostic","P0","components/cat-4/c4-m-ai-draft-approval-pipeline","True","True","1","1","0","3","1","1","0","5","5","PASS_80_20","OK","Packages drafts for approval"
"C4-T","OCR / Document Processing Pipeline","Category 4 - AI Workflow Systems","HANDOFF_ONLY_CORE","BUILT","handoff_only","provider_agnostic","P1","components/cat-4/c4-t-ocr-document-processing-pipeline","True","True","1","1","0","3","1","1","0","9","9","PASS_HANDOFF_ONLY","OK","Routes text-ready/OCR/manual review document paths"
"C5-E","Manual Review Queue","Category 5 - Dashboards / Status / Review","CORE_COMPONENT","BUILT","core_logic","provider_agnostic","P0","components/cat-5/c5-e-manual-review-queue","True","True","1","1","0","3","1","1","0","6","6","PASS_80_20","OK","Manual review queue"
"C5-W","Automation Status Control Table","Category 5 - Dashboards / Status / Review","CORE_COMPONENT","BUILT","core_logic","provider_agnostic","P0","components/cat-5/c5-w-automation-status-control-table","True","True","1","1","0","3","1","1","0","5","5","PASS_80_20","OK","Status tracking"
"C6-G","Error Log / Retry Queue","Category 6 - Debugging / Reliability","CORE_COMPONENT","BUILT","core_logic","provider_agnostic","P0","components/cat-6/c6-g-error-log-retry-queue","True","True","1","1","0","3","1","1","0","5","5","PASS_80_20","OK","Error and retry queue"
"C1-E","Multi-Step Sequence Engine","Category 1 - Outreach / Sequencing","SCAFFOLD_ONLY","NOT_BUILT","none","provider_agnostic","P3","components/cat-1/c1-e-multi-step-sequence-engine","True","True","0","0","0","0","0","0","0","0","0","SCAFFOLD_ONLY","OK","README-only scaffold"
"C2-A","Parent Data Sync Router","Category 2 - Automation Workflows","CORE_COMPONENT","BUILT","core_logic","provider_agnostic","P0","components/cat-2/c2-a-data-sync-pipeline","True","True","1","1","0","4","1","0","0","7","7","PASS_80_20","OK","Built in n8n as platform-agnostic parent router. Produces selected_adapter and adapter_input packages for C2-A1/C2-A2/C2-A3."
"C3-D","E-Signature Flow","Category 3 - Client Onboarding / Delivery","SCAFFOLD_ONLY","NOT_BUILT","none","provider_agnostic","P3","components/cat-3/c3-d-e-signature-flow","True","True","0","0","0","0","0","0","0","0","0","SCAFFOLD_ONLY","OK","README-only scaffold"
"C3-E","Document / Invoice Generation","Category 3 - Client Onboarding / Delivery","SCAFFOLD_ONLY","NOT_BUILT","none","provider_agnostic","P1","components/cat-3/c3-e-document-invoice-generation","True","True","0","0","0","0","0","0","0","0","0","SCAFFOLD_ONLY","OK","README-only scaffold"
"C3-F","Delivery Tracking","Category 3 - Client Onboarding / Delivery","SCAFFOLD_ONLY","NOT_BUILT","none","provider_agnostic","P3","components/cat-3/c3-f-delivery-tracking","True","True","0","0","0","0","0","0","0","0","0","SCAFFOLD_ONLY","OK","README-only scaffold"
"C3-G","Subscription Billing Engine","Category 3 - Client Onboarding / Delivery","SCAFFOLD_ONLY","NOT_BUILT","none","provider_agnostic","P3","components/cat-3/c3-g-subscription-billing-engine","True","True","0","0","0","0","0","0","0","0","0","SCAFFOLD_ONLY","OK","README-only scaffold"
"C3-H","Payment to Onboarding","Category 3 - Client Onboarding / Delivery","SCAFFOLD_ONLY","NOT_BUILT","none","provider_agnostic","P2","components/cat-3/c3-h-payment-to-onboarding","True","True","0","0","0","0","0","0","0","0","0","SCAFFOLD_ONLY","OK","README-only scaffold"
"C3-I","Welcome Sequence","Category 3 - Client Onboarding / Delivery","SCAFFOLD_ONLY","NOT_BUILT","none","provider_agnostic","P2","components/cat-3/c3-i-welcome-sequence","True","True","0","0","0","0","0","0","0","0","0","SCAFFOLD_ONLY","OK","README-only scaffold"
"C4-C","AI Summary Generator","Category 4 - AI Workflow Systems","SCAFFOLD_ONLY","NOT_BUILT","none","provider_agnostic","P2","components/cat-4/c4-c-ai-summary-generator","True","True","0","0","0","0","0","0","0","0","0","SCAFFOLD_ONLY","OK","README-only scaffold"
"C4-F","AI Content Repurpose Engine","Category 4 - AI Workflow Systems","SCAFFOLD_ONLY","NOT_BUILT","none","provider_agnostic","P3","components/cat-4/c4-f-ai-content-repurpose-engine","True","True","0","0","0","0","0","0","0","0","0","SCAFFOLD_ONLY","OK","README-only scaffold"
"C5-A","Basic Dashboard View","Category 5 - Dashboards / Status / Review","SCAFFOLD_ONLY","NOT_BUILT","none","provider_agnostic","P2","components/cat-5/c5-a-basic-dashboard-view","True","True","0","0","0","0","0","0","0","0","0","SCAFFOLD_ONLY","OK","README-only scaffold"
"C5-B","Client Portal Table","Category 5 - Dashboards / Status / Review","SCAFFOLD_ONLY","NOT_BUILT","none","provider_agnostic","P2","components/cat-5/c5-b-client-portal-table","True","True","0","0","0","0","0","0","0","0","0","SCAFFOLD_ONLY","OK","README-only scaffold"
"C5-C","Reporting Data Model","Category 5 - Dashboards / Status / Review","SCAFFOLD_ONLY","NOT_BUILT","none","provider_agnostic","P2","components/cat-5/c5-c-reporting-data-model","True","True","0","0","0","0","0","0","0","0","0","SCAFFOLD_ONLY","OK","README-only scaffold"
"C5-D","KPI Summary Builder","Category 5 - Dashboards / Status / Review","SCAFFOLD_ONLY","NOT_BUILT","none","provider_agnostic","P2","components/cat-5/c5-d-kpi-summary-builder","True","True","0","0","0","0","0","0","0","0","0","SCAFFOLD_ONLY","OK","README-only scaffold"
"C5-L","File Preview","Category 5 - Dashboards / Status / Review","SCAFFOLD_ONLY","NOT_BUILT","none","provider_agnostic","P3","components/cat-5/c5-l-file-preview","True","True","0","0","0","0","0","0","0","0","0","SCAFFOLD_ONLY","OK","README-only scaffold"
"C5-T","Export Reports","Category 5 - Dashboards / Status / Review","SCAFFOLD_ONLY","NOT_BUILT","none","provider_agnostic","P2","components/cat-5/c5-t-export-reports","True","True","0","0","0","0","0","0","0","0","0","SCAFFOLD_ONLY","OK","README-only scaffold"
"C5-X","KPI Monitoring / Threshold Alert Engine","Category 5 - Dashboards / Status / Review","SCAFFOLD_ONLY","NOT_BUILT","none","provider_agnostic","P2","components/cat-5/c5-x-kpi-monitoring-threshold-alert-engine","True","True","0","0","0","0","0","0","0","0","0","SCAFFOLD_ONLY","OK","README-only scaffold"
"C6-A","Workflow Audit Checker","Category 6 - Debugging / Reliability","SCAFFOLD_ONLY","NOT_BUILT","none","provider_agnostic","P1","components/cat-6/c6-a-workflow-audit-checker","True","True","0","0","0","0","0","0","0","0","0","SCAFFOLD_ONLY","OK","README-only scaffold"
"C6-B","Error Pattern Library","Category 6 - Debugging / Reliability","SCAFFOLD_ONLY","NOT_BUILT","none","provider_agnostic","P1","components/cat-6/c6-b-error-pattern-library","True","True","0","0","0","0","0","0","0","0","0","SCAFFOLD_ONLY","OK","README-only scaffold"
"C6-C","API Auth Debugger","Category 6 - Debugging / Reliability","SCAFFOLD_ONLY","NOT_BUILT","none","provider_agnostic","P1","components/cat-6/c6-c-api-auth-debugger","True","True","0","0","0","0","0","0","0","0","0","SCAFFOLD_ONLY","OK","README-only scaffold"
"C6-D","Data Mapping Diagnostic","Category 6 - Debugging / Reliability","SCAFFOLD_ONLY","NOT_BUILT","none","provider_agnostic","P1","components/cat-6/c6-d-data-mapping-diagnostic","True","True","0","0","0","0","0","0","0","0","0","SCAFFOLD_ONLY","OK","README-only scaffold"
"C6-E","Integration Health Check","Category 6 - Debugging / Reliability","SCAFFOLD_ONLY","NOT_BUILT","none","provider_agnostic","P1","components/cat-6/c6-e-integration-health-check","True","True","0","0","0","0","0","0","0","0","0","SCAFFOLD_ONLY","OK","README-only scaffold"
"C6-F","Handoff Documentation Pack","Category 6 - Debugging / Reliability","SCAFFOLD_ONLY","NOT_BUILT","none","provider_agnostic","P1","components/cat-6/c6-f-handoff-documentation-pack","True","True","0","0","0","0","0","0","0","0","0","SCAFFOLD_ONLY","OK","README-only scaffold"
"ADP-REST","Generic REST API Adapter","Universal Adapter Layer","INDEPENDENT_ADAPTER","BUILT","provider_execution","generic_rest","P0","components/adapters/adp-rest-generic-rest-api-adapter","True","True","1","1","0","11","3","0","0","7","7","PASS_80_20_FOR_DECLARED_SCOPE","DISCUSS_SCOPE","Built in n8n as generic no-auth REST adapter using HTTP Request node. Supports GET, POST, PATCH, DELETE v1 with normalized request and response contracts."
"ADP-WEBHOOK-SEND","Generic Webhook Sender","Universal Adapter Layer","INDEPENDENT_ADAPTER","BUILT","provider_execution","generic_webhook","P0","components/adapters/adp-webhook-send-generic-webhook-sender","True","True","1","1","0","7","3","0","0","6","6","PASS_80_20_FOR_DECLARED_SCOPE","DISCUSS_SCOPE","Built in n8n as generic outbound webhook sender using HTTP Request POST. Supports headers, query parameters, JSON payload, no-auth v1, and normalized success/error outputs."
"ADP-OAUTH-TEST","OAuth Credential Test Adapter","Universal Adapter Layer","INDEPENDENT_ADAPTER","DEFERRED_ADAPTER","provider_execution","oauth","P0","adapters/independent/oauth-credential-test-adapter","False","False","0","0","0","0","0","0","0","0","0","DEFERRED","OK","Credential validation adapter"
"ADP-GMAIL-SEND","Gmail Send Adapter","Universal Adapter Layer","INDEPENDENT_ADAPTER","DEFERRED_ADAPTER","provider_execution","Gmail","P0","adapters/independent/gmail-send-adapter","False","False","0","0","0","0","0","0","0","0","0","DEFERRED","OK","High-demand email send adapter"
"ADP-GMAIL-INBOX","Gmail Inbox Trigger Adapter","Universal Adapter Layer","INDEPENDENT_ADAPTER","DEFERRED_ADAPTER","provider_execution","Gmail","P0","adapters/independent/gmail-inbox-trigger-adapter","False","False","0","0","0","0","0","0","0","0","0","DEFERRED","OK","High-demand email intake adapter"
"ADP-SLACK-SEND","Slack Send Adapter","Universal Adapter Layer","INDEPENDENT_ADAPTER","DEFERRED_ADAPTER","provider_execution","Slack","P0","adapters/independent/slack-send-adapter","False","False","0","0","0","0","0","0","0","0","0","DEFERRED","OK","High-demand team notification adapter"
"ADP-GDRIVE","Google Drive File Adapter","Universal Adapter Layer","INDEPENDENT_ADAPTER","DEFERRED_ADAPTER","provider_execution","Google Drive","P0","adapters/independent/google-drive-file-adapter","False","False","0","0","0","0","0","0","0","0","0","DEFERRED","OK","High-demand file adapter"
"ADP-NOTION-DB","Notion Database Adapter","Universal Adapter Layer","INDEPENDENT_ADAPTER","DEFERRED_ADAPTER","provider_execution","Notion","P0","adapters/independent/notion-database-adapter","False","False","0","0","0","0","0","0","0","0","0","DEFERRED","OK","High-demand no-code database adapter"
"ADP-PIPEDRIVE","Pipedrive Adapter","Universal Adapter Layer","INDEPENDENT_ADAPTER","DEFERRED_ADAPTER","provider_execution","Pipedrive","P0","adapters/independent/pipedrive-adapter","False","False","0","0","0","0","0","0","0","0","0","DEFERRED","OK","High-demand SMB CRM adapter"
"ADP-GHL","GoHighLevel Adapter","Universal Adapter Layer","INDEPENDENT_ADAPTER","DEFERRED_ADAPTER","provider_execution","GoHighLevel","P0","adapters/independent/gohighlevel-adapter","False","False","0","0","0","0","0","0","0","0","0","DEFERRED","OK","High-demand agency CRM adapter"
"ADP-PDF","PDF Text Extraction Adapter","Universal Adapter Layer","INDEPENDENT_ADAPTER","DEFERRED_ADAPTER","provider_execution","PDF","P0","adapters/independent/pdf-text-extraction-adapter","False","False","0","0","0","0","0","0","0","0","0","DEFERRED","OK","High-demand document adapter"
"TPL-P0-001","Lead Intake to Qualification to Follow-up","Template Glue Layer","TEMPLATE_GLUE","NOT_BUILT","template_glue","mixed","P0","templates/p0/lead-intake-qualification-followup","False","False","0","0","0","0","0","0","0","0","0","NOT_BUILT","OK","Highest ROI lead workflow template"
"TPL-P0-002","Form Submission to CRM Update to Team Alert","Template Glue Layer","TEMPLATE_GLUE","NOT_BUILT","template_glue","mixed","P0","templates/p0/form-crm-alert","False","False","0","0","0","0","0","0","0","0","0","NOT_BUILT","OK","High ROI basic automation template"
"TPL-P0-003","CSV/Excel Cleanup to CRM Import","Template Glue Layer","TEMPLATE_GLUE","NOT_BUILT","template_glue","mixed","P0","templates/p0/csv-crm-import","False","False","0","0","0","0","0","0","0","0","0","NOT_BUILT","OK","High ROI import/cleanup template"
"TPL-P0-004","Webhook to Normalize to API Sync","Template Glue Layer","TEMPLATE_GLUE","NOT_BUILT","template_glue","mixed","P0","templates/p0/webhook-normalize-api-sync","False","False","0","0","0","0","0","0","0","0","0","NOT_BUILT","OK","High ROI API sync template"
"TPL-P0-005","AI Email Draft to Approval to Send","Template Glue Layer","TEMPLATE_GLUE","NOT_BUILT","template_glue","mixed","P0","templates/p0/ai-email-approval-send","False","False","0","0","0","0","0","0","0","0","0","NOT_BUILT","OK","High ROI AI email workflow"
"TPL-P0-006","Inbound Email to Extract to CRM Update","Template Glue Layer","TEMPLATE_GLUE","NOT_BUILT","template_glue","mixed","P0","templates/p0/inbound-email-extract-crm","False","False","0","0","0","0","0","0","0","0","0","NOT_BUILT","OK","High ROI inbound email CRM workflow"
"CFG-001","Client Profile Schema","Client Config Layer","CLIENT_CONFIG_ASSET","BUILT","config_asset","N/A","P0","client-config/schemas/client-profile-schema.json","True","False","0","0","0","0","0","0","0","0","0","PASS_CONFIG_ASSET","OK","Built master client profile schema with embedded AI profile and assembly preferences"
"CFG-002","Workflow Discovery Questionnaire","Client Config Layer","CLIENT_CONFIG_ASSET","BUILT","config_asset","N/A","P0","client-config/questionnaires/workflow-discovery-questionnaire.md","True","False","0","0","0","0","0","0","0","0","0","PASS_CONFIG_ASSET","OK","Built internal workflow discovery questionnaire for job-profile intake and Assembly Engine requirements"
"CFG-003","Tool Stack Questionnaire","Client Config Layer","CLIENT_CONFIG_ASSET","BUILT","config_asset","N/A","P0","client-config/questionnaires/tool-stack-questionnaire.md","True","False","0","0","0","0","0","0","0","0","0","PASS_CONFIG_ASSET","OK","Built internal tool stack questionnaire for adapter selection and Assembly Engine gap scoping"
"CFG-004","AI Profile Compatibility Pack","Client Config Layer","CLIENT_CONFIG_ASSET","BUILT","config_asset","N/A","P0","client-config/questionnaires/ai-profile-compatibility-map.md","True","False","0","0","0","0","0","0","0","0","0","PASS_CONFIG_ASSET","OK","Built AI profile compatibility map integrating CFG-001.ai_profile with existing C4 client_ai_profile runtime contracts"
"CFG-005","Credential Collection Checklist","Client Config Layer","CLIENT_CONFIG_ASSET","BUILT","config_asset","N/A","P0","client-config/questionnaires/credential-collection-checklist.md","True","False","0","0","0","0","0","0","0","0","0","PASS_CONFIG_ASSET","OK","Built internal credential and access-readiness checklist for implementation readiness and adapter blockers"
"CFG-006","Template Config Generator","Client Config Layer","CLIENT_CONFIG_ASSET","BUILT","config_asset","N/A","P0","client-config/generators/template-config-generator","True","True","0","0","0","0","0","0","0","0","0","PASS_CONFIG_ASSET","OK","Built v1 spec for converting client/job/tool/AI/credential inputs into template config, adapter gap report, and assembly recommendation"
"CFG-002A","Client-Facing Workflow Discovery Form","Client Config Layer","CLIENT_CONFIG_ASSET","BUILT","config_asset","N/A","P0","client-config/questionnaires/client-facing-workflow-discovery-form.md","True","False","0","0","0","0","0","0","0","0","0","PASS_CONFIG_ASSET","OK","Built simplified client-facing workflow discovery form that maps into CFG-002 structured job profile"
"CFG-003A","Client-Facing Tool Stack Form","Client Config Layer","CLIENT_CONFIG_ASSET","BUILT","config_asset","N/A","P0","client-config/questionnaires/client-facing-tool-stack-form.md","True","False","0","0","0","0","0","0","0","0","0","PASS_CONFIG_ASSET","OK","Built simplified client-facing tool stack form that maps into CFG-003 structured tool stack response"
"CFG-004A","Client-Facing AI Customization Form","Client Config Layer","CLIENT_CONFIG_ASSET","BUILT","config_asset","N/A","P0","client-config/questionnaires/client-facing-ai-customization-form.md","True","False","0","0","0","0","0","0","0","0","0","PASS_CONFIG_ASSET","OK","Built simplified client-facing AI customization form that populates CFG-001.ai_profile"
"CFG-005A","Client-Facing Credential Checklist","Client Config Layer","CLIENT_CONFIG_ASSET","BUILT","config_asset","N/A","P0","client-config/questionnaires/client-facing-credential-checklist.md","True","False","0","0","0","0","0","0","0","0","0","PASS_CONFIG_ASSET","OK","Built simplified client-facing credential checklist that maps into CFG-005 credential readiness response"
