"path","role","proposed_action","reason","size_bytes","last_modified"
"client-assets\c4-client-ai-profile-schema.json","LEGACY_CLIENT_ASSET","REVIEW_MERGE_OR_ARCHIVE","Likely superseded by client-config CFG-004/CFG-001 assets.","4014","2026-05-25 23:13:10"
"client-assets\sample-c4-client-ai-profile.json","LEGACY_CLIENT_ASSET","REVIEW_MERGE_OR_ARCHIVE","Likely superseded by client-config CFG-004/CFG-001 assets.","8687","2026-05-25 23:13:27"
"client-config\README.md","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","495","2026-05-27 10:09:01"
"client-config\examples\adapter-gap-report.example.json","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","2218","2026-05-27 11:52:24"
"client-config\examples\ai-profile-response.example.json","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","3423","2026-05-27 11:27:32"
"client-config\examples\assembly-recommendation.example.json","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","1991","2026-05-27 11:52:33"
"client-config\examples\client-profile.example.json","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","6274","2026-05-27 10:52:39"
"client-config\examples\credential-readiness-response.example.json","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","5840","2026-05-27 11:42:19"
"client-config\examples\README.md","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","110","2026-05-27 10:09:01"
"client-config\examples\template-config.example.json","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","6032","2026-05-27 11:52:01"
"client-config\examples\tool-stack-response.example.json","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","5210","2026-05-27 11:13:54"
"client-config\examples\workflow-discovery-response.example.json","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","5952","2026-05-27 11:06:33"
"client-config\generators\README.md","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","962","2026-05-27 11:52:49"
"client-config\generators\template-config-generator\README.md","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","1261","2026-05-27 11:50:11"
"client-config\generators\template-config-generator\template-config-generator-spec.md","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","10450","2026-05-27 11:51:31"
"client-config\questionnaires\ai-profile-compatibility-map.md","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","9932","2026-05-27 11:26:39"
"client-config\questionnaires\client-facing-ai-customization-form.md","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","4612","2026-05-27 11:27:08"
"client-config\questionnaires\client-facing-credential-checklist.md","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","4177","2026-05-27 11:42:00"
"client-config\questionnaires\client-facing-tool-stack-form.md","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","4420","2026-05-27 11:13:32"
"client-config\questionnaires\client-facing-workflow-discovery-form.md","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","6779","2026-05-27 11:05:09"
"client-config\questionnaires\credential-collection-checklist.md","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","6791","2026-05-27 11:41:25"
"client-config\questionnaires\README.md","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","2555","2026-05-27 11:42:47"
"client-config\questionnaires\tool-stack-questionnaire.md","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","7669","2026-05-27 11:12:56"
"client-config\questionnaires\workflow-discovery-questionnaire.md","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","8595","2026-05-27 11:03:44"
"client-config\questionnaires\cfg-002-workflow-discovery-questionnaire\README.md","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","796","2026-05-27 11:06:43"
"client-config\questionnaires\cfg-002a-client-facing-workflow-discovery-form\README.md","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","727","2026-05-27 11:06:43"
"client-config\questionnaires\cfg-003-tool-stack-questionnaire\README.md","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","880","2026-05-27 11:14:09"
"client-config\questionnaires\cfg-003a-client-facing-tool-stack-form\README.md","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","716","2026-05-27 11:14:09"
"client-config\questionnaires\cfg-004-ai-profile-compatibility-pack\README.md","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","978","2026-05-27 11:27:45"
"client-config\questionnaires\cfg-004a-client-facing-ai-customization-form\README.md","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","702","2026-05-27 11:27:45"
"client-config\questionnaires\cfg-005-credential-collection-checklist\README.md","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","923","2026-05-27 11:42:32"
"client-config\questionnaires\cfg-005a-client-facing-credential-checklist\README.md","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","754","2026-05-27 11:42:32"
"client-config\schemas\client-profile-schema.json","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","15503","2026-05-27 10:48:32"
"client-config\schemas\README.md","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","1582","2026-05-27 10:49:37"
"client-config\schemas\cfg-001-client-profile-schema\README.md","CLIENT_CONFIG_LAYER_DOC","KEEP_LOCAL","Current client-config layer docs, schemas, forms, examples, or generator specs.","1207","2026-05-27 10:53:11"
"components\cat-1\c1-e-multi-step-sequence-engine\README.md","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","383","2026-05-25 21:39:26"
"components\cat-2\c2-a-data-sync-pipeline\README.md","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","397","2026-05-25 14:46:24"
"components\cat-2\c2-a1-google-sheets-write-adapter\README.md","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","4317","2026-05-25 14:41:36"
"components\cat-2\c2-a1-google-sheets-write-adapter\output-samples\error-missing-spreadsheet-id.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","765","2026-05-25 14:41:36"
"components\cat-2\c2-a1-google-sheets-write-adapter\output-samples\error-upstream-validation-failed.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","803","2026-05-25 14:41:36"
"components\cat-2\c2-a1-google-sheets-write-adapter\output-samples\success-output.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","877","2026-05-25 14:41:36"
"components\cat-2\c2-a1-google-sheets-write-adapter\test-payloads\lead-write.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1224","2026-05-25 14:41:36"
"components\cat-2\c2-a1-google-sheets-write-adapter\test-payloads\missing-spreadsheet-id.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","898","2026-05-25 14:41:36"
"components\cat-2\c2-a1-google-sheets-write-adapter\test-payloads\upstream-validation-failed.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1174","2026-05-25 14:41:36"
"components\cat-2\c2-a1-google-sheets-write-adapter\workflows\c2-a1-core-google-sheets-write-adapter-v1.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","11843","2026-05-25 14:41:36"
"components\cat-2\c2-a2-airtable-write-adapter\README.md","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","4153","2026-05-25 14:41:36"
"components\cat-2\c2-a2-airtable-write-adapter\output-samples\error-missing-base-id.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","757","2026-05-25 14:41:36"
"components\cat-2\c2-a2-airtable-write-adapter\output-samples\error-upstream-validation-failed.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","782","2026-05-25 14:41:36"
"components\cat-2\c2-a2-airtable-write-adapter\output-samples\success-output.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","863","2026-05-25 14:41:36"
"components\cat-2\c2-a2-airtable-write-adapter\test-payloads\lead-write.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1203","2026-05-25 14:41:36"
"components\cat-2\c2-a2-airtable-write-adapter\test-payloads\missing-base-id.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","911","2026-05-25 14:41:36"
"components\cat-2\c2-a2-airtable-write-adapter\test-payloads\upstream-validation-failed.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1153","2026-05-25 14:41:36"
"components\cat-2\c2-a2-airtable-write-adapter\workflows\c2-a2-core-airtable-write-adapter-v1.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","11299","2026-05-25 14:41:36"
"components\cat-2\c2-a3-hubspot-contact-write-adapter\README.md","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","4118","2026-05-25 14:41:36"
"components\cat-2\c2-a3-hubspot-contact-write-adapter\output-samples\error-missing-field-map.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","775","2026-05-25 14:41:36"
"components\cat-2\c2-a3-hubspot-contact-write-adapter\output-samples\error-upstream-validation-failed.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","771","2026-05-25 14:41:36"
"components\cat-2\c2-a3-hubspot-contact-write-adapter\output-samples\success-output.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","800","2026-05-25 14:41:36"
"components\cat-2\c2-a3-hubspot-contact-write-adapter\test-payloads\contact-write.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1099","2026-05-25 14:41:36"
"components\cat-2\c2-a3-hubspot-contact-write-adapter\test-payloads\missing-field-map.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","886","2026-05-25 14:41:36"
"components\cat-2\c2-a3-hubspot-contact-write-adapter\test-payloads\upstream-validation-failed.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1155","2026-05-25 14:41:36"
"components\cat-2\c2-a3-hubspot-contact-write-adapter\workflows\c2-a3-core-hubspot-contact-write-adapter-v1.json.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","12104","2026-05-25 14:41:36"
"components\cat-2\c2-b-conditional-routing-engine\README.md","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","4281","2026-05-25 16:06:17"
"components\cat-2\c2-b-conditional-routing-engine\output-samples\error-missing-route-rules.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","641","2026-05-25 16:05:09"
"components\cat-2\c2-b-conditional-routing-engine\output-samples\success-fallback-route.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","588","2026-05-25 16:05:09"
"components\cat-2\c2-b-conditional-routing-engine\output-samples\success-matched-notify-route.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","624","2026-05-25 16:05:09"
"components\cat-2\c2-b-conditional-routing-engine\output-samples\success-validation-error-route.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","545","2026-05-25 16:05:09"
"components\cat-2\c2-b-conditional-routing-engine\test-payloads\fallback-route.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1036","2026-05-25 15:54:39"
"components\cat-2\c2-b-conditional-routing-engine\test-payloads\hubspot-sales-route.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1403","2026-05-25 15:54:39"
"components\cat-2\c2-b-conditional-routing-engine\test-payloads\missing-rules.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","334","2026-05-25 15:54:39"
"components\cat-2\c2-b-conditional-routing-engine\test-payloads\validation-failed-route.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1247","2026-05-25 15:54:39"
"components\cat-2\c2-b-conditional-routing-engine\test-payloads\write-success-notify.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1714","2026-05-25 15:54:39"
"components\cat-2\c2-b-conditional-routing-engine\workflows\c2-b-core-conditional-routing-engine-v1.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","10830","2026-05-25 16:04:01"
"components\cat-2\c2-c-webhook-trigger-system\README.md","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","3998","2026-05-25 14:41:36"
"components\cat-2\c2-c-webhook-trigger-system\output-samples\error-empty-input.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","462","2026-05-25 14:41:36"
"components\cat-2\c2-c-webhook-trigger-system\output-samples\error-missing-event-type.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","528","2026-05-25 14:41:36"
"components\cat-2\c2-c-webhook-trigger-system\output-samples\error-missing-payload.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","501","2026-05-25 14:41:36"
"components\cat-2\c2-c-webhook-trigger-system\output-samples\success-output.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","523","2026-05-25 14:41:36"
"components\cat-2\c2-c-webhook-trigger-system\test-payloads\empty-payload.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","7","2026-05-25 14:41:36"
"components\cat-2\c2-c-webhook-trigger-system\test-payloads\lead-intake.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","417","2026-05-25 14:41:36"
"components\cat-2\c2-c-webhook-trigger-system\test-payloads\missing-event-type.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","263","2026-05-25 14:41:36"
"components\cat-2\c2-c-webhook-trigger-system\test-payloads\missing-payload.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","242","2026-05-25 14:41:36"
"components\cat-2\c2-c-webhook-trigger-system\test-payloads\payment-success.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","437","2026-05-25 14:41:36"
"components\cat-2\c2-c-webhook-trigger-system\test-payloads\whatsapp-message.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","406","2026-05-25 14:41:36"
"components\cat-2\c2-c-webhook-trigger-system\workflows\c2-c-core-event-normalizer-v1.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","7293","2026-05-25 14:41:36"
"components\cat-2\c2-c-webhook-trigger-system\workflows\c2-c-webhook-receiver-wrapper-v1.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","4337","2026-05-25 14:41:36"
"components\cat-2\c2-d-deduplication-merge-engine\README.md","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","4678","2026-05-25 21:14:48"
"components\cat-2\c2-d-deduplication-merge-engine\output-samples\error-dedupe-not-requested.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","691","2026-05-25 21:15:45"
"components\cat-2\c2-d-deduplication-merge-engine\output-samples\error-upstream-action-failed.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","780","2026-05-25 21:15:45"
"components\cat-2\c2-d-deduplication-merge-engine\output-samples\success-exact-email-duplicate.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1162","2026-05-25 21:15:45"
"components\cat-2\c2-d-deduplication-merge-engine\output-samples\success-new-record.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","723","2026-05-25 21:15:45"
"components\cat-2\c2-d-deduplication-merge-engine\output-samples\success-possible-duplicate.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1126","2026-05-25 21:15:45"
"components\cat-2\c2-d-deduplication-merge-engine\test-payloads\dedupe-not-requested.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","592","2026-05-25 21:07:00"
"components\cat-2\c2-d-deduplication-merge-engine\test-payloads\exact-email-duplicate.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1185","2026-05-25 21:07:00"
"components\cat-2\c2-d-deduplication-merge-engine\test-payloads\new-record.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","902","2026-05-25 21:07:00"
"components\cat-2\c2-d-deduplication-merge-engine\test-payloads\possible-duplicate.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1202","2026-05-25 21:07:00"
"components\cat-2\c2-d-deduplication-merge-engine\test-payloads\upstream-failed.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","644","2026-05-25 21:07:00"
"components\cat-2\c2-d-deduplication-merge-engine\workflows\c2-d-core-deduplication-merge-engine-v1.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","11928","2026-05-25 21:12:43"
"components\cat-2\c2-e-form-intake-pipeline\README.md","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","4887","2026-05-26 01:21:25"
"components\cat-2\c2-e-form-intake-pipeline\output-samples\error-form-intake-not-requested.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","566","2026-05-26 01:22:05"
"components\cat-2\c2-e-form-intake-pipeline\output-samples\error-missing-field-map.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","552","2026-05-26 01:22:05"
"components\cat-2\c2-e-form-intake-pipeline\output-samples\error-upstream-action-failed.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","661","2026-05-26 01:22:05"
"components\cat-2\c2-e-form-intake-pipeline\output-samples\success-tally-form.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1617","2026-05-26 01:22:05"
"components\cat-2\c2-e-form-intake-pipeline\output-samples\success-typeform-ref-form.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1564","2026-05-26 01:22:05"
"components\cat-2\c2-e-form-intake-pipeline\output-samples\success-website-form.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1615","2026-05-26 01:22:05"
"components\cat-2\c2-e-form-intake-pipeline\test-payloads\form-intake-not-requested.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","687","2026-05-26 01:08:47"
"components\cat-2\c2-e-form-intake-pipeline\test-payloads\missing-field-map.invalid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","584","2026-05-26 01:08:47"
"components\cat-2\c2-e-form-intake-pipeline\test-payloads\tally-form.valid.json","COMPONENT_LOCAL_DOC_OR_ARTIFACT","KEEP_LOCAL","Component-local README, workflow, payload, or output sample.","1290","2026-05-26 01:08:47"
